episode,total_reward
169,-570.2307853807852
170,-595.5445173163451
171,-580.4527770541041
172,-581.5613924334485
173,-594.1607659815371
174,-592.9244716932284
175,-572.8640111155952
176,-588.3795526216464
177,-598.2111004038543
178,-579.4856667631134
179,-579.0883910593769
180,-569.5855554811056
181,-572.2189166541999
182,-569.4534037054184
183,-584.3543796714747
184,-595.3662570717995
185,-598.0105423570709
186,-582.0664563671047
187,-567.3527820206426
188,-581.7308982495581
189,-609.7425537077436
190,-566.1658597574921
191,-582.4925547934084
192,-581.294052280999
193,-600.6308698362465
194,-584.4768855850357
195,-569.2625143384622
196,-583.2415910842251
197,-592.4400624589003
198,-572.3520087897806
199,-611.267715533177
200,-584.2845513746687
201,-574.6251866303578
202,-582.5346891017709
203,-584.230082491499
204,-575.4385797659168
205,-581.420820000353
206,-579.8649215082661
207,-588.0058567645962
208,-587.8622149889916
209,-583.4191200873711
210,-596.2719102951868
211,-586.7784237088506
212,-578.9989780621679
213,-571.6084048172543
214,-591.5856287727493
215,-604.0918570680226
216,-585.9986318437584
217,-556.8805869656603
218,-568.7294484971
219,-568.2459160607069
220,-579.3132852587637
221,-599.4176635244279
222,-579.7085678768714
223,-589.5392583615888
224,-576.9293171222806
225,-584.4408398508858
226,-566.4154787658603
227,-581.7284107805145
228,-583.7517508215367
229,-571.7991573348867
230,-590.9393744395555
231,-571.5327920204437
232,-571.3981139522832
233,-589.302323496399
234,-566.1498925068014
235,-568.5930351279508
236,-570.2169872157889
237,-588.3031396520325
238,-582.5771715751873
239,-627.68850632986
240,-587.8892169386213
241,-609.833058864957
242,-563.3005741128918
243,-595.1109000444864
244,-595.6013754191837
245,-567.1618382239241
246,-575.7425113697542
247,-592.1757253199721
248,-574.87016038424
249,-560.0067894072308
250,-612.1917650791131
251,-577.8142981931843
252,-566.3996798908862
253,-578.710439710689
254,-576.3906605360272
255,-566.625563528935
256,-582.017950008551
257,-572.6336085199819
258,-578.8136728252945
259,-570.7679487246803
260,-603.5315083312955
261,-582.5695561452359
262,-584.3939557547403
263,-573.5841820958527
264,-578.0698748230185
265,-579.9908074010991
266,-590.9252923417577
267,-579.3480688160922
268,-600.7201516716553
269,-609.0926542942897
270,-591.1726047726045
271,-569.9164274013691
272,-563.7408701740255
273,-602.0055905389809
274,-594.7059284788539
275,-581.6472551308728
276,-569.7247913582323
277,-584.4175014063967
278,-581.3144617217263
279,-578.7905605091337
280,-577.9195249615758
281,-579.7413223788895
282,-586.337242724618
283,-580.6509619865575
284,-600.4029698493146
285,-585.9404183163388
286,-578.1501794107199
287,-605.9306282075215
288,-576.531354460541
289,-575.3105384511426
290,-582.9421344334656
291,-571.7274532726339
292,-565.0064395319484
293,-573.9976667913015
294,-582.1859960339443
295,-576.5012877079574
296,-575.0319599734582
297,-566.7600116713404
298,-561.3279522928842
299,-575.7966272540435
300,-611.7671839600152
301,-568.0819787437522
302,-571.712424377553
303,-555.9625278526653
304,-561.9893257986537
305,-594.9353038541028
306,-574.2688323137904
307,-572.9577893959726
308,-553.9665026626935
309,-587.1615113990857
310,-550.2269867442077
311,-584.1063516335797
312,-583.836318938439
313,-586.5490974391274
314,-584.1002762971609
315,-602.7887017283964
316,-555.5104481613286
317,-563.2022145446136
318,-568.2012639995583
319,-559.9761745040082
320,-570.215026706184
321,-585.202174876518
322,-582.2583253496939
323,-565.8585687273529
324,-577.3678211384481
325,-583.3124222321059
326,-564.6250789925763
327,-573.1309838995013
328,-597.2295785428603
329,-600.7839266833151
330,-576.8962071022049
331,-553.1133915544374
332,-585.6730187050296
