episode,total_reward
1,-1392.2924874201417
2,-1505.4897114634514
3,-1506.458632774651
4,-1506.222616828978
5,-1495.8089385256171
6,-1505.3521234095097
7,-1506.3499500975013
8,-1505.6607184186578
9,-1505.5016305297613
10,-1505.6853847056627
11,-1505.7426484450698
12,-1506.6516252532601
13,-1505.582637630403
14,-660.6758756563067
15,-633.680161178112
16,-585.5209297537804
17,-626.292116433382
18,-564.2962092757225
19,-587.1422061622143
20,-568.0725536346436
21,-576.5896782875061
22,-570.0834166109562
23,-557.9724902510643
24,-580.1394955515862
25,-582.9959478080273
26,-576.4644069373608
27,-587.2701427638531
28,-583.3602050244808
29,-589.983453720808
30,-581.5924067497253
31,-554.264371573925
32,-588.17727419734
33,-635.0840184390545
34,-575.2981050610542
35,-595.8356330692768
36,-570.3560305833817
37,-590.1177536547184
38,-576.8420344293118
39,-585.7375165820122
40,-586.3669430017471
41,-595.8680085241795
42,-613.9951376616955
43,-568.7258940935135
44,-578.0330174565315
45,-573.2310004234314
46,-588.9916286766529
47,-581.1277849674225
48,-581.4692847430706
49,-567.9057387709618
50,-577.9962648749352
51,-565.2351117730141
52,-580.2209372520447
53,-572.2602886557579
54,-589.9761472642422
55,-619.8757839500904
56,-592.3248136043549
57,-591.0504211783409
58,-556.2252297997475
59,-588.577603071928
60,-589.8931791186333
61,-582.3552948534489
62,-585.0999085903168
63,-584.5502423346043
64,-577.2140516936779
65,-588.5444431900978
66,-570.3658465147018
67,-580.8018316924572
68,-568.9090067148209
69,-593.4501745700836
70,-563.5660393238068
71,-603.2393023073673
72,-591.3385409712791
73,-604.898494541645
74,-584.5459406375885
75,-583.2844763994217
76,-555.0403309464455
77,-580.8619211316109
78,-559.9434515833855
79,-579.37765660882
80,-588.937945663929
81,-577.769312620163
82,-558.187274158001
83,-578.7558182477951
84,-566.6401074528694
85,-584.9931519031525
86,-588.2041268348694
87,-568.0372450947762
88,-567.7845985293388
89,-583.4779768884182
90,-582.1125732958317
91,-593.7821284532547
92,-571.9192517995834
93,-591.5589729249477
94,-570.048152923584
95,-576.7432379722595
96,-595.5371206998825
97,-570.2127828001976
98,-592.3838568031788
99,-565.7067015171051
100,-580.9505950808525
101,-584.0231402218342
102,-585.8498837351799
103,-576.6065802276134
104,-594.1520845293999
105,-589.4165242314339
106,-571.7972673177719
107,-594.6126242280006
108,-567.5773563981056
109,-573.7968004345894
110,-573.5806471705437
111,-590.8890185058117
112,-567.5296635329723
113,-576.3095586001873
114,-575.6569710373878
115,-576.3286443352699
116,-574.7470366358757
117,-570.9724920094013
118,-595.6370797753334
119,-589.0386032164097
120,-556.6960948109627
121,-574.8599930405617
122,-583.7847264409065
123,-581.9915554523468
124,-581.5797481536865
125,-570.4836212396622
126,-587.2324816584587
127,-566.6393272280693
128,-589.3519669771194
129,-620.1291701048613
130,-576.6221623122692
131,-587.1263788640499
132,-596.0675628483295
133,-582.4762865900993
134,-588.8694297373295
135,-608.2855849862099
136,-546.7127027511597
137,-559.2832084298134
138,-600.1503871679306
139,-594.3112661242485
140,-576.7824060022831
141,-565.823610663414
142,-573.5154113769531
143,-583.0179905891418
144,-621.897499203682
145,-588.2610868215561
146,-559.8937241435051
147,-586.5023598372936
148,-569.4002389013767
149,-605.8240986764431
150,-587.5542773008347
151,-601.0314514935017
152,-575.2755328416824
153,-563.2862005829811
154,-576.9207951724529
155,-574.4913330674171
156,-607.1169475913048
157,-583.8442122638226
158,-570.9199818372726
159,-591.4428796768188
160,-601.1793904453516
161,-570.6620447933674
162,-603.9395917356014
163,-571.1814883053303
164,-581.1317298710346
165,-602.5125046670437
166,-567.7470836639404
167,-590.7123011946678
168,-593.9126840233803
169,-586.6991073191166
170,-598.8611433506012
171,-567.8829542994499
172,-581.5283955335617
173,-575.5319252610207
174,-606.2929683923721
175,-575.4418702721596
176,-600.2480059862137
177,-601.9039305746555
178,-591.0761454999447
179,-564.4937350153923
180,-567.490092754364
181,-582.231697767973
182,-606.251007527113
183,-564.9284160137177
184,-575.3190483152866
